title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,416280,
"Scream 2",movie,"Horror, Mystery",1997,tt0120082,6.3,222131,
"Scream 3",movie,"Horror, Mystery",2000,tt0134084,5.7,173410,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1658,
"Charlie's Angels",movie,"Action, Adventure, Comedy",2000,tt0160127,5.6,201842,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134907,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11685,
"My Super Ex-Girlfriend",movie,"Comedy, Romance, Sci-Fi",2006,tt0465624,5.2,68192,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,74443,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15783,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,197849,
"The Darjeeling Limited",movie,"Adventure, Comedy, Drama",2007,tt0838221,7.2,223386,
"Panic Room",movie,"Crime, Drama, Thriller",2002,tt0258000,6.8,306526,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,89091,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,428612,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7255,
"Sense and Sensibility",movie,"Drama, Romance",1995,tt0114388,7.7,131200,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,901,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,301665,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12668,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,128738,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,20112,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,720144,
"Boogie Nights",movie,Drama,1997,tt0118749,7.9,290815,
"3:10 to Yuma",movie,"Action, Crime, Drama",2007,tt0381849,7.6,342467,
"The Polar Express",movie,"Adventure, Animation, Comedy",2004,tt0338348,6.6,257041,
Chaos,movie,"Action, Crime, Drama",2005,tt0402910,6.4,59335,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,16011,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5699,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4503,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13659,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,62264,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1523,
"The Towering Inferno",movie,"Action, Drama, Thriller",1974,tt0072308,7,50313,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,142091,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,125935,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.8,124621,
"Nosferatu the Vampyre",movie,"Drama, Horror",1979,tt0079641,7.4,46920,
"Three Kings",movie,"Action, Adventure, Comedy",1999,tt0120188,7.1,184139,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,848187,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,180911,
Transsiberian,movie,"Crime, Drama, Mystery",2008,tt0800241,6.6,55643,
"Zathura: A Space Adventure",movie,"Action, Adventure, Comedy",2005,tt0406375,6.3,120542,
Outbreak,movie,"Action, Drama, Thriller",1995,tt0114069,6.6,142110,
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27714,
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,354781,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,105150,
